127.0.0.1 - - [26/Jan/2024:15:02:28 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Jan/2024:15:02:29 +0900] "GET /BBS/ HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [26/Jan/2024:15:02:29 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1661
0:0:0:0:0:0:0:1 - - [26/Jan/2024:15:02:30 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146075
0:0:0:0:0:0:0:1 - - [26/Jan/2024:15:02:30 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [26/Jan/2024:15:02:44 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1660
0:0:0:0:0:0:0:1 - - [26/Jan/2024:15:02:44 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2024:15:02:44 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2024:15:02:54 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2305
