127.0.0.1 - - [25/Jan/2024:14:42:59 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [25/Jan/2024:14:43:01 +0900] "GET /BBS/ HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [25/Jan/2024:14:43:01 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [25/Jan/2024:14:43:01 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146075
0:0:0:0:0:0:0:1 - - [25/Jan/2024:14:43:01 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [25/Jan/2024:14:43:06 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2193
0:0:0:0:0:0:0:1 - - [25/Jan/2024:14:43:10 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [25/Jan/2024:14:43:10 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1500
0:0:0:0:0:0:0:1 - - [25/Jan/2024:14:43:12 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2265
0:0:0:0:0:0:0:1 - - [25/Jan/2024:14:43:20 +0900] "GET /BBS/write.jsp HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [25/Jan/2024:14:43:36 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1500
0:0:0:0:0:0:0:1 - - [25/Jan/2024:14:44:02 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2265
0:0:0:0:0:0:0:1 - - [25/Jan/2024:14:44:03 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1500
0:0:0:0:0:0:0:1 - - [25/Jan/2024:14:44:05 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1500
0:0:0:0:0:0:0:1 - - [25/Jan/2024:14:44:06 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1500
0:0:0:0:0:0:0:1 - - [25/Jan/2024:14:44:07 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 234
0:0:0:0:0:0:0:1 - - [25/Jan/2024:14:44:07 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [25/Jan/2024:14:44:09 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [25/Jan/2024:14:44:10 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [25/Jan/2024:14:44:10 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [25/Jan/2024:14:45:31 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [25/Jan/2024:14:45:31 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2024:14:45:31 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2024:14:45:43 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1594
0:0:0:0:0:0:0:1 - - [25/Jan/2024:14:45:43 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2024:14:45:43 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2024:14:46:27 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1609
0:0:0:0:0:0:0:1 - - [25/Jan/2024:14:46:27 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2024:14:46:27 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2024:14:48:25 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1623
0:0:0:0:0:0:0:1 - - [25/Jan/2024:14:48:25 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2024:14:48:25 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
