127.0.0.1 - - [24/Jan/2024:16:33:59 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [24/Jan/2024:16:34:00 +0900] "GET /BBS/ HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [24/Jan/2024:16:34:00 +0900] "GET /BBS/main.jsp HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [24/Jan/2024:16:41:57 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [24/Jan/2024:16:41:57 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146075
0:0:0:0:0:0:0:1 - - [24/Jan/2024:16:41:57 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [24/Jan/2024:16:42:12 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2953
0:0:0:0:0:0:0:1 - - [24/Jan/2024:16:42:29 +0900] "POST /BBS/joinAction.jsp HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [24/Jan/2024:16:42:29 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1500
0:0:0:0:0:0:0:1 - - [24/Jan/2024:16:42:51 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 234
0:0:0:0:0:0:0:1 - - [24/Jan/2024:16:42:51 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [24/Jan/2024:16:42:59 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2193
0:0:0:0:0:0:0:1 - - [24/Jan/2024:16:43:03 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [24/Jan/2024:16:43:03 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1500
0:0:0:0:0:0:0:1 - - [24/Jan/2024:16:43:13 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 234
0:0:0:0:0:0:0:1 - - [24/Jan/2024:16:43:13 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [24/Jan/2024:16:43:16 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2953
0:0:0:0:0:0:0:1 - - [24/Jan/2024:16:44:11 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2953
0:0:0:0:0:0:0:1 - - [24/Jan/2024:16:44:11 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2024:16:44:11 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2024:16:45:11 +0900] "POST /BBS/joinAction.jsp HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [24/Jan/2024:16:45:11 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1500
0:0:0:0:0:0:0:1 - - [24/Jan/2024:16:46:36 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 234
0:0:0:0:0:0:0:1 - - [24/Jan/2024:16:46:36 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [24/Jan/2024:16:46:38 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2953
0:0:0:0:0:0:0:1 - - [24/Jan/2024:16:46:46 +0900] "POST /BBS/joinAction.jsp HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [24/Jan/2024:16:46:46 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1500
0:0:0:0:0:0:0:1 - - [24/Jan/2024:16:47:00 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 234
0:0:0:0:0:0:0:1 - - [24/Jan/2024:16:47:00 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [24/Jan/2024:16:47:02 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2953
0:0:0:0:0:0:0:1 - - [24/Jan/2024:16:47:08 +0900] "POST /BBS/joinAction.jsp HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [24/Jan/2024:16:47:08 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1500
0:0:0:0:0:0:0:1 - - [24/Jan/2024:16:47:43 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 234
0:0:0:0:0:0:0:1 - - [24/Jan/2024:16:47:43 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [24/Jan/2024:16:52:02 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2951
0:0:0:0:0:0:0:1 - - [24/Jan/2024:16:52:12 +0900] "POST /BBS/joinAction.jsp HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [24/Jan/2024:16:52:12 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1500
