127.0.0.1 - - [16/Jan/2024:15:25:53 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Jan/2024:15:26:12 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [16/Jan/2024:15:28:16 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [16/Jan/2024:15:28:16 +0900] "GET /BBS/login.jsp HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [16/Jan/2024:15:44:04 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 421
0:0:0:0:0:0:0:1 - - [16/Jan/2024:15:44:04 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [16/Jan/2024:15:44:04 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [16/Jan/2024:15:49:50 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 871
0:0:0:0:0:0:0:1 - - [16/Jan/2024:15:49:50 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2024:15:49:50 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2024:15:50:00 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 871
0:0:0:0:0:0:0:1 - - [16/Jan/2024:15:50:00 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2024:15:50:00 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2024:15:50:00 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 871
0:0:0:0:0:0:0:1 - - [16/Jan/2024:15:50:00 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2024:15:50:00 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2024:15:50:00 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 871
0:0:0:0:0:0:0:1 - - [16/Jan/2024:15:50:00 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2024:15:50:01 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
